Country,Number_of_Bags,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag Weight,Colors,quality_score,Variety,Processing Method
mexico,250,2012,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,10,7.33,79.92,0.11,0,0,green,3,1100,1100,1100,1,green,79.92,Catuai,Washed / Wet
mexico,100,2012,7.33,7.25,7,7.42,7.17,7.17,9.33,10,10,7.25,79.92,0.12,0,0,green,6,1250,1250,1250,1,green,79.92,Typica,Natural / Dry
mexico,209,2012,7.17,7.33,7.08,7.58,7.33,7.08,10,9.33,10,7,79.92,0.11,0,0,green,0,1250,1250,1250,1,green,79.92,Mundo Novo,Washed / Wet
united states (hawaii),40,others,7.5,7.42,7.58,7.42,7.5,7.58,8.67,8.67,10,7.58,79.92,0.05,3,0,others,0,others,others,others,100,bluish-green,79.92,,Other
kenya,200,2017,7,7.08,7,7.17,7.25,7.25,10,10,10,7.08,79.83,0.11,0,1,others,5,1500,1500,1500,12000,bluish-green,79.83,SL34,Washed / Wet
guatemala,50,2017,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10,10,7.08,79.83,0.1,0,0,green,2,1700,1700,1700,69,green,79.83,Bourbon,Washed / Wet
nicaragua,75,2014,6.83,7.17,7.17,6.92,7.5,7.08,10,10,10,7.17,79.83,0.11,0,0,green,0,1250,1250,1250,2,green,79.83,Caturra,Washed / Wet
mexico,250,2012,7.17,7.08,7,7.25,7.5,7,10,10,10,6.83,79.83,0.12,0,0,green,3,1300,1300,1300,1,green,79.83,Typica,Washed / Wet
united states (hawaii),12,2012,7.58,7.08,6.83,7.17,7.5,7.17,9.33,10,10,7.17,79.83,0.12,7,0,bluish-green,10,others,others,others,100,bluish-green,79.83,Hawaiian Kona,Natural / Dry
guatemala,25,2016,7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.25,79.75,0.1,0,4,green,1,190164,190164,190164,69,green,79.75,Bourbon,Washed / Wet
taiwan,28,2014,7.75,7.33,7.17,7.33,7.67,7.83,9.33,9.33,8.67,7.33,79.75,0,0,0,others,0,800,1200,1000,50,bluish-green,79.75,Typica,Natural / Dry
taiwan,50,2013,7.08,7.08,7.25,7,7.17,7.17,10,10,10,7,79.75,0.1,0,0,bluish-green,0,500,700,600,20,bluish-green,79.75,Typica,Washed / Wet
thailand,1,2013,7.25,7.08,6.92,7.5,7.08,6.92,10,10,10,7,79.75,0.12,0,0,green,0,800,800,800,1,green,79.75,,Washed / Wet
peru,320,2013,7,7.08,7,7.25,7.5,7.42,9.33,10,10,7.17,79.75,0.12,1,0,green,2,others,others,others,5,green,79.75,,Washed / Wet
costa rica,275,2013,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,79.75,0.1,0,0,bluish-green,4,1100,1100,1100,2,bluish-green,79.75,Catuai,Washed / Wet
mexico,310,2013,7.58,7.08,7,7,7.5,6.92,10,10,10,6.67,79.75,0.12,0,0,green,4,1400,1400,1400,1,green,79.75,Typica,Washed / Wet
mexico,275,2013,7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,79.75,0.13,0,0,green,4,1022,1022,1022,1,green,79.75,Bourbon,Washed / Wet
mexico,380,2013,7.25,7.08,7,7.17,7.17,7.08,10,10,10,7,79.75,0.12,0,0,green,5,1300,1300,1300,1,green,79.75,Bourbon,Washed / Wet
mexico,12,2012,7.25,7.17,7.17,7.08,7.17,7,10,10,10,6.92,79.75,0.14,0,0,others,0,1450,1450,1450,1,bluish-green,79.75,Bourbon,Washed / Wet
mexico,250,2012,7.33,7.25,7,7.08,7.08,7,10,10,10,7,79.75,0.1,1,0,green,22,1050,1050,1050,1,green,79.75,Typica,Washed / Wet
guatemala,275,2012,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,9.33,7.67,79.75,0,0,0,green,4,others,others,others,69,green,79.75,Bourbon,Washed / Wet
mexico,36,2012,7.25,6.83,6.92,7.08,7.25,7.08,10,10,10,7.33,79.75,0.12,0,0,others,7,1100,1100,1100,1,bluish-green,79.75,Typica,Washed / Wet
guatemala,25,2016,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,79.67,0.1,0,2,green,1,1219.2,1219.2,1219.2,69,green,79.67,Bourbon,Washed / Wet
el salvador,275,2016,7.25,7.08,7,6.83,7.33,7.17,10,10,10,7,79.67,0,0,0,bluish-green,12,1250,1250,1250,69,bluish-green,79.67,Bourbon,Washed / Wet
thailand,1,2013,6.92,7.17,6.83,7.42,7.17,7.08,10,10,10,7.08,79.67,0.12,0,0,bluish-green,0,800,800,800,1,bluish-green,79.67,,Washed / Wet
guatemala,250,2013,7.5,7,6.83,7.08,7.08,7.17,10,10,10,7,79.67,0.11,0,0,green,6,1310.64,1310.64,1310.64,69,green,79.67,Bourbon,Washed / Wet
mexico,310,2013,7.42,7.25,6.83,7.58,7.17,6.58,10,10,10,6.83,79.67,0.12,0,0,green,6,1400,1400,1400,1,green,79.67,Typica,Washed / Wet
mexico,10,2012,7.33,7.17,7,6.75,7.08,7,10,10,10,7.33,79.67,0.13,5,0,others,6,975,975,975,1,bluish-green,79.67,Caturra,Washed / Wet
mexico,253,2012,6.92,7.17,7.17,7.17,7.08,7.08,10,10,10,7.08,79.67,0,0,0,others,9,1264,1264,1264,1,bluish-green,79.67,Mundo Novo,Washed / Wet
thailand,5,others,7.17,7.17,7,7,7.25,6.92,10,10,10,7.17,79.67,0,1,0,others,0,others,others,others,1,bluish-green,79.67,Peaberry,Other
mexico,50,2012,7.08,7,6.92,7.33,7.25,7.08,10,10,10,6.92,79.58,0.12,0,0,others,11,1250,1250,1250,1,bluish-green,79.58,Typica,Washed / Wet
mexico,250,2012,7.25,6.92,6.92,7.33,7.25,7,10,10,10,6.92,79.58,0.13,0,0,green,5,1550,1550,1550,1,green,79.58,Caturra,Washed / Wet
colombia,250,2018,7.25,7.17,7,6.75,7.17,7.33,10,10,10,6.92,79.58,0.1,0,0,others,4,1800,1800,1800,70,bluish-green,79.58,,Other
guatemala,223,2009,7.08,7,6.83,7.33,7.25,7,10,10,10,7.08,79.58,0.17,1,0,others,19,1066.8,1584.96,1325.88,69,bluish-green,79.58,,Other
nicaragua,275,2015,6.92,6.92,7,7.42,7.25,7,10,10,10,7,79.5,0.12,0,0,green,6,1050,1050,1050,69,green,79.5,Caturra,Natural / Dry
taiwan,10,2014,6.92,7,7.17,7,7.42,7,10,10,10,7,79.5,0,0,0,others,1,700,700,700,2,bluish-green,79.5,Typica,Natural / Dry
colombia,250,2013,7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,7.5,79.5,0,0,0,green,2,1550,1550,1550,70,green,79.5,Caturra,Washed / Wet
mexico,250,2012,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,10,7,79.5,0.12,1,0,green,20,1550,1550,1550,1,green,79.5,Caturra,Washed / Wet
mexico,127,2012,7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,7,79.5,0.12,0,0,bluish-green,5,1100,1100,1100,1,bluish-green,79.5,Typica,Washed / Wet
