Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag_Weight,Colors,quality_score,Variety,Processing Method
mexico,"pluma hidalogo, oaxaca",various smallholders,250,specialty coffee association,2018,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,6.92,79.17,0.01,0,0,others,8,1200,1200,2000,6,bluish-green,79.17,Typica,Other
guatemala,san marcos,angel de leon,50,asociacion nacional del café,2017,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,79.08,0.1,0,0,green,1,1700,1700,1400,69,green,79.08,Bourbon,Washed / Wet
united states (puerto rico),yauco region,hacienda alto grande,18,specialty coffee association,2013,7.42,7.08,6.75,7.33,7.33,6.92,10,9.33,10,6.92,79.08,0.13,0,0,green,0,853.44,853.44,1550,5,green,79.08,Other,Washed / Wet
mexico,zaragoza itundujia,guadalupe heras hernandez,13,amecafe,2012,7.33,7,6.92,7.25,7.33,7.08,9.33,10,10,6.83,79.08,0.16,0,0,others,2,1500,1500,1200,1,bluish-green,79.08,Typica,Washed / Wet
mexico,tlacuilotepec,juana rodriguez gutierrez,10,amecafe,2012,7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,6.92,79.08,0.11,0,0,green,45,1100,1100,1550,1,green,79.08,Mundo Novo,Washed / Wet
mexico,talpa de allende,balbino ramirez flores,10,amecafe,2012,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10,7.25,79.08,0.1,0,0,bluish-green,0,1200,1200,1400,1,bluish-green,79.08,Typica,Washed / Wet
others,others,others,149,almacafé,others,6.75,6.75,6.42,6.83,7.58,7.5,10,10,10,7.25,79.08,0.1,0,0,others,3,others,others,1800,70,bluish-green,79.08,NA,Other
guatemala,oriente,varios,250,asociacion nacional del café,2014,7.33,7.17,6.58,7.42,7.08,6.83,10,10,10,6.58,79,0.12,0,0,green,3,1219.2,1219.2,1400,69,green,79,Other,Washed / Wet
honduras,intibuca,cooperativa coaquil,275,instituto hondureño del café,2014,7,7,7,7,7,7,10,10,10,7,79,0.11,0,0,green,12,1350,1350,1400,2,green,79,Pacas,Washed / Wet
peru,san ignacio,frontera,280,specialty coffee association,2012,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,7,79,0,0,0,others,4,1400,1400,1700,69,bluish-green,79,Typica,Washed / Wet
mexico,"iliatenco, guerrero",gonzalo de aquino flores,14,amecafe,2012,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,79,0.12,0,0,others,12,1300,1300,1800,1,bluish-green,79,Mundo Novo,Natural / Dry
mexico,zaragoza itundujia,juan cruz riaño,16,amecafe,2012,7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,7,79,0.14,3,0,green,17,1550,1550,1600,1,green,79,Typica,Semi-washed / Semi-pulped
mexico,amatenango de la frontera,juan avenamar rodriguez funez,120,amecafe,2012,7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,6.83,79,0.14,7,0,green,38,12,12,1200,1,green,79,Typica,Washed / Wet
mexico,"la concordia, chiapas",agroindustrias unidas de mexico sa de cv,250,amecafe,2013,7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,7,78.92,0.12,0,0,green,8,1300,1300,1400,1,green,78.92,Typica,Washed / Wet
mexico,zaragoza itundujia,luisa zuñiga garcía,14,amecafe,2012,7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,78.92,0.16,0,0,others,0,1400,1400,1400,1,bluish-green,78.92,Typica,Washed / Wet
nicaragua,jalapa,teófilo narváez,1,instituto hondureño del café,2016,7.17,7,6.92,7,7,7,10,10,10,6.75,78.83,0.1,0,2,green,4,1100,1100,1800,1,green,78.83,Caturra,Other
united states (hawaii),kona,others,11,specialty coffee association,2013,7.5,6.92,6.92,7.25,7.58,7.42,9.33,9.33,9.33,7.17,78.75,0.12,5,0,green,8,others,others,1400,2,green,78.75,NA,Natural / Dry
guatemala,oriente,agripec de la vega y cia.,250,asociacion nacional del café,2013,7.33,7.08,6.33,7.25,7,7,10,10,10,6.75,78.75,0.12,1,0,green,8,1310.64,1310.64,1300,69,green,78.75,Bourbon,Washed / Wet
mexico,veracruz,"jose vazquez canton, jose antonio jimenez gonzalez, ireneo garcia valdivia",20,amecafe,2012,7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,78.75,0.14,0,0,green,0,1320,1320,1400,1,green,78.75,Typica,Washed / Wet
mexico,veracruz,damaso martinez perez,35,amecafe,2012,7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,7,78.75,0.14,0,0,others,0,1250,1250,1550,1,bluish-green,78.75,Typica,Semi-washed / Semi-pulped
mexico,"ohuapan, tlaltetela","pedro herrera guzman, aurelio gabriel hernandez ,maria de lourdes deristain tress",10,amecafe,2012,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,7,78.75,0.12,0,0,others,0,1350,1350,1600,1,bluish-green,78.75,Bourbon,Washed / Wet
china,yunnan,yunnan louis herbs r&d center,1,specialty coffee association,2013,7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,78.67,0,0,0,green,5,1850,1850,1400,2,green,78.67,Typica,Washed / Wet
mexico,yecuatla,juan garcia hernandez,20,amecafe,2012,6.92,6.92,6.67,7.25,7.17,6.92,10,10,10,6.83,78.67,0.13,0,0,others,2,1150,1150,1400,1,bluish-green,78.67,Caturra,Washed / Wet
nicaragua,nueva segovia,adonis jose ortez beltran,275,instituto hondureño del café,2016,7.08,7,6.75,6.83,7.08,6.92,10,10,10,6.92,78.58,0.1,1,5,green,7,others,others,1600,69,green,78.58,NA,Other
